section,group,metric,label,value
by_heuristic_flag,numeric_not_found_in_cited_sources,labeled_hallucination_rows,,486
by_heuristic_flag,numeric_not_found_in_cited_sources,labeled_support_rows,,486
by_heuristic_flag,numeric_not_found_in_cited_sources,material_unsupported_claim_rate,,0.0205761316872428
by_heuristic_flag,numeric_not_found_in_cited_sources,no_hallucination_rate,,0.9279835390946503
by_heuristic_flag,numeric_not_found_in_cited_sources,post_event_leakage_rate,,0.00205761316872428
by_heuristic_flag,numeric_not_found_in_cited_sources,rows,,486
by_heuristic_flag,numeric_not_found_in_cited_sources,support_label_counts,partial,24
by_heuristic_flag,numeric_not_found_in_cited_sources,support_label_counts,supported,451
by_heuristic_flag,numeric_not_found_in_cited_sources,support_label_counts,unsupported,11
by_heuristic_flag,numeric_not_found_in_cited_sources,supported_or_not_applicable_rate,,0.9279835390946503
by_model_family,claude-sonnet-4.5,hallucination_label_counts,material_unsupported_claim,7
by_model_family,claude-sonnet-4.5,hallucination_label_counts,minor_unsupported_detail,13
by_model_family,claude-sonnet-4.5,hallucination_label_counts,no_hallucination,244
by_model_family,claude-sonnet-4.5,labeled_hallucination_rows,,264
by_model_family,claude-sonnet-4.5,labeled_support_rows,,264
by_model_family,claude-sonnet-4.5,material_unsupported_claim_rate,,0.026515151515151516
by_model_family,claude-sonnet-4.5,no_hallucination_rate,,0.9242424242424242
by_model_family,claude-sonnet-4.5,post_event_leakage_rate,,0.0
by_model_family,claude-sonnet-4.5,rows,,264
by_model_family,claude-sonnet-4.5,support_label_counts,partial,13
by_model_family,claude-sonnet-4.5,support_label_counts,supported,244
by_model_family,claude-sonnet-4.5,support_label_counts,unsupported,7
by_model_family,claude-sonnet-4.5,supported_or_not_applicable_rate,,0.9242424242424242
by_model_family,deepseek-v3.1,hallucination_label_counts,material_unsupported_claim,5
by_model_family,deepseek-v3.1,hallucination_label_counts,minor_unsupported_detail,16
by_model_family,deepseek-v3.1,hallucination_label_counts,no_hallucination,177
by_model_family,deepseek-v3.1,hallucination_label_counts,post_event_leakage,1
by_model_family,deepseek-v3.1,labeled_hallucination_rows,,199
by_model_family,deepseek-v3.1,labeled_support_rows,,199
by_model_family,deepseek-v3.1,material_unsupported_claim_rate,,0.02512562814070352
by_model_family,deepseek-v3.1,no_hallucination_rate,,0.8894472361809045
by_model_family,deepseek-v3.1,post_event_leakage_rate,,0.005025125628140704
by_model_family,deepseek-v3.1,rows,,199
by_model_family,deepseek-v3.1,support_label_counts,partial,16
by_model_family,deepseek-v3.1,support_label_counts,supported,177
by_model_family,deepseek-v3.1,support_label_counts,unsupported,6
by_model_family,deepseek-v3.1,supported_or_not_applicable_rate,,0.8894472361809045
by_model_family,gpt-5.2,hallucination_label_counts,minor_unsupported_detail,2
by_model_family,gpt-5.2,hallucination_label_counts,no_hallucination,253
by_model_family,gpt-5.2,labeled_hallucination_rows,,255
by_model_family,gpt-5.2,labeled_support_rows,,255
by_model_family,gpt-5.2,material_unsupported_claim_rate,,0.0
by_model_family,gpt-5.2,no_hallucination_rate,,0.9921568627450981
by_model_family,gpt-5.2,post_event_leakage_rate,,0.0
by_model_family,gpt-5.2,rows,,255
by_model_family,gpt-5.2,support_label_counts,partial,2
by_model_family,gpt-5.2,support_label_counts,supported,253
by_model_family,gpt-5.2,supported_or_not_applicable_rate,,0.9921568627450981
by_model_family,qwen3-235b-a22b,hallucination_label_counts,material_unsupported_claim,5
by_model_family,qwen3-235b-a22b,hallucination_label_counts,minor_unsupported_detail,9
by_model_family,qwen3-235b-a22b,hallucination_label_counts,no_hallucination,229
by_model_family,qwen3-235b-a22b,labeled_hallucination_rows,,243
by_model_family,qwen3-235b-a22b,labeled_support_rows,,243
by_model_family,qwen3-235b-a22b,material_unsupported_claim_rate,,0.0205761316872428
by_model_family,qwen3-235b-a22b,no_hallucination_rate,,0.9423868312757202
by_model_family,qwen3-235b-a22b,post_event_leakage_rate,,0.0
by_model_family,qwen3-235b-a22b,rows,,243
by_model_family,qwen3-235b-a22b,support_label_counts,not_applicable,1
by_model_family,qwen3-235b-a22b,support_label_counts,partial,9
by_model_family,qwen3-235b-a22b,support_label_counts,supported,228
by_model_family,qwen3-235b-a22b,support_label_counts,unsupported,5
by_model_family,qwen3-235b-a22b,supported_or_not_applicable_rate,,0.9423868312757202
by_treatment_family,B0,hallucination_label_counts,material_unsupported_claim,7
by_treatment_family,B0,hallucination_label_counts,minor_unsupported_detail,13
by_treatment_family,B0,hallucination_label_counts,no_hallucination,174
by_treatment_family,B0,labeled_hallucination_rows,,194
by_treatment_family,B0,labeled_support_rows,,194
by_treatment_family,B0,material_unsupported_claim_rate,,0.03608247422680412
by_treatment_family,B0,no_hallucination_rate,,0.8969072164948454
by_treatment_family,B0,post_event_leakage_rate,,0.0
by_treatment_family,B0,rows,,194
by_treatment_family,B0,support_label_counts,partial,13
by_treatment_family,B0,support_label_counts,supported,174
by_treatment_family,B0,support_label_counts,unsupported,7
by_treatment_family,B0,supported_or_not_applicable_rate,,0.8969072164948454
by_treatment_family,T1,hallucination_label_counts,material_unsupported_claim,3
by_treatment_family,T1,hallucination_label_counts,minor_unsupported_detail,8
by_treatment_family,T1,hallucination_label_counts,no_hallucination,183
by_treatment_family,T1,labeled_hallucination_rows,,194
by_treatment_family,T1,labeled_support_rows,,194
by_treatment_family,T1,material_unsupported_claim_rate,,0.015463917525773196
by_treatment_family,T1,no_hallucination_rate,,0.9432989690721649
by_treatment_family,T1,post_event_leakage_rate,,0.0
by_treatment_family,T1,rows,,194
by_treatment_family,T1,support_label_counts,partial,8
by_treatment_family,T1,support_label_counts,supported,183
by_treatment_family,T1,support_label_counts,unsupported,3
by_treatment_family,T1,supported_or_not_applicable_rate,,0.9432989690721649
by_treatment_family,T2,hallucination_label_counts,material_unsupported_claim,4
by_treatment_family,T2,hallucination_label_counts,minor_unsupported_detail,8
by_treatment_family,T2,hallucination_label_counts,no_hallucination,173
by_treatment_family,T2,labeled_hallucination_rows,,185
by_treatment_family,T2,labeled_support_rows,,185
by_treatment_family,T2,material_unsupported_claim_rate,,0.021621621621621623
by_treatment_family,T2,no_hallucination_rate,,0.9351351351351351
by_treatment_family,T2,post_event_leakage_rate,,0.0
by_treatment_family,T2,rows,,185
by_treatment_family,T2,support_label_counts,not_applicable,1
by_treatment_family,T2,support_label_counts,partial,8
by_treatment_family,T2,support_label_counts,supported,172
by_treatment_family,T2,support_label_counts,unsupported,4
by_treatment_family,T2,supported_or_not_applicable_rate,,0.9351351351351351
by_treatment_family,T3,hallucination_label_counts,material_unsupported_claim,3
by_treatment_family,T3,hallucination_label_counts,minor_unsupported_detail,4
by_treatment_family,T3,hallucination_label_counts,no_hallucination,179
by_treatment_family,T3,labeled_hallucination_rows,,186
by_treatment_family,T3,labeled_support_rows,,186
by_treatment_family,T3,material_unsupported_claim_rate,,0.016129032258064516
by_treatment_family,T3,no_hallucination_rate,,0.9623655913978495
by_treatment_family,T3,post_event_leakage_rate,,0.0
by_treatment_family,T3,rows,,186
by_treatment_family,T3,support_label_counts,partial,4
by_treatment_family,T3,support_label_counts,supported,179
by_treatment_family,T3,support_label_counts,unsupported,3
by_treatment_family,T3,supported_or_not_applicable_rate,,0.9623655913978495
by_treatment_family,T4,hallucination_label_counts,minor_unsupported_detail,7
by_treatment_family,T4,hallucination_label_counts,no_hallucination,194
by_treatment_family,T4,hallucination_label_counts,post_event_leakage,1
by_treatment_family,T4,labeled_hallucination_rows,,202
by_treatment_family,T4,labeled_support_rows,,202
by_treatment_family,T4,material_unsupported_claim_rate,,0.0
by_treatment_family,T4,no_hallucination_rate,,0.9603960396039604
by_treatment_family,T4,post_event_leakage_rate,,0.0049504950495049506
by_treatment_family,T4,rows,,202
by_treatment_family,T4,support_label_counts,partial,7
by_treatment_family,T4,support_label_counts,supported,194
by_treatment_family,T4,support_label_counts,unsupported,1
by_treatment_family,T4,supported_or_not_applicable_rate,,0.9603960396039604
overall,all,hallucination_label_counts,material_unsupported_claim,17
overall,all,hallucination_label_counts,minor_unsupported_detail,40
overall,all,hallucination_label_counts,no_hallucination,903
overall,all,hallucination_label_counts,post_event_leakage,1
overall,all,labeled_hallucination_rows,,961
overall,all,labeled_support_rows,,961
overall,all,material_unsupported_claim_rate,,0.01768990634755463
overall,all,no_hallucination_rate,,0.9396462018730489
overall,all,post_event_leakage_rate,,0.001040582726326743
overall,all,rows,,961
overall,all,support_label_counts,not_applicable,1
overall,all,support_label_counts,partial,40
overall,all,support_label_counts,supported,902
overall,all,support_label_counts,unsupported,18
overall,all,supported_or_not_applicable_rate,,0.9396462018730489
