release_group,release_path,role,artifact_use,paper_mapping,row_count_excluding_header,sha256
prompt_sensitivity,prompt_sensitivity/treatment_means_t2star_t3star.csv,robustness,T2*/T3* treatment means after removing neutral-analyst framing from upstream summaries.,Prompt sensitivity robustness: no neutral-analyst upstream T2/T3 summary variant.,4,aa88c6344becd1678da224b8271b9ad3133bab539f3fb909190168a2c6776bb4
prompt_sensitivity,prompt_sensitivity/t2_t3_neutral_ablation_side_by_side.csv,robustness,"Neutral-analyst upstream summaries vs no-neutral-analyst upstream summaries, side-by-side T2/T3 metrics.",Prompt sensitivity robustness: neutral-analyst framing vs no neutral-analyst framing.,8,a2d9d30eceb341f45ef8589b8ebde95c8608c821d28b3ff2d945f937b609569e
prompt_sensitivity,prompt_sensitivity/action_distribution_no_neutral_minus_neutral_deltas.csv,robustness,Action-distribution deltas for no-neutral-analyst framing minus neutral-analyst framing.,Prompt sensitivity robustness: neutral-analyst framing ablation action distribution.,6,1ba0bf21b80265d551d6905d617369c58b380678fa1a6ae8ed68673fdc9dee15
appendix_diagnostics,appendix_diagnostics/belief_mad_contrasts_event_bootstrap.csv,appendix_diagnostic,Event-bootstrap belief MAD contrasts.,Appendix diagnostics: formal missing metrics.,6,464f2a018b881c9ad1da9e1515e1b6e187196a521c5df611b00ca40b599599ef
appendix_diagnostics,appendix_diagnostics/category_diversity_contrasts_event_bootstrap.csv,appendix_diagnostic,Event-bootstrap category diversity contrasts.,Appendix diagnostics: formal missing metrics.,6,5ec1e86a232e9df0a7b7ed9ddb7ff8728f39cfca568e01507b24525efed38271
appendix_diagnostics,appendix_diagnostics/profile_separability_formal_event_bootstrap.csv,appendix_diagnostic,Formal event-bootstrap profile separability.,Appendix diagnostics: profile separability.,30,4e8070a50c1c4ba5f21d0018489b8d687e809509d98e089f973536d859975bef
appendix_diagnostics,appendix_diagnostics/reasoning_contrasts.csv,appendix_diagnostic,Semantic rationale diversity contrasts.,Appendix diagnostics: reasoning semantic diversity.,13536,9a54e5e65eb0147810a4c5726af791a423ac7e1c7f98f2d24b1dcd2b249f0ef5
human_audit,human_audit/audit_protocol.csv,human_audit_protocol,Compact protocol and caveat table for released row-level human-audit sheets.,Construct validity / audit protocol.,3,44309bdd672be5a59936338617c5af74fa85a3673f9908afa56c5941641df8df
human_audit,human_audit/canonical_evidence_audit_sheet.csv,row_level_human_audit,Row-level canonical-evidence validity audit with public source excerpts and audit judgments.,Construct validity / canonical evidence audit.,62,88061e38c3c1525fe778c7342f0fc40316dd9f58cb058a40c62a8a295a1f34e7
human_audit,human_audit/cross_treatment_representation_audit_sheet.csv,row_level_human_audit,"Row-level cross-treatment representation audit with rendered text, source-ID checks, and audit judgments.",Construct validity / treatment representation audit.,4,35d43391cd64ebd36293506b12a218a6aa1dc964b22f385dcdfeead95f526623
calibration,calibration/calibration_2025_selection_summary.csv,calibration_set_summary,Summary of the 12-event 2025 near-cutoff calibration set.,Calibration: 2025 near-cutoff set construction; excluded from primary 2026+ claims.,1,91ee4176ab8fb5e3b6bfdaac687f3530acbebd9520e405b48d0b42fa727ca19d
calibration,calibration/calibration_2025_selected_events.csv,calibration_set_events,"Row-level selected-event metadata for the 2025 calibration set, with operational paths omitted.",Calibration: 2025 near-cutoff selected events.,12,1f32e197cbac3bb4b8c26963d770e81818f5f885aac223f345c1399207282c61
calibration,calibration/calibration_2025_provider_metric_summary.csv,calibration_metric_readout,Provider-backed 2025 calibration metric-run summaries for Qwen and Claude.,Calibration: provider metric smoke/readiness checks.,2,2d7f538611dac6ce50627d82c579a0b9423dec68090ea371c1347df4757c853c
calibration,calibration/calibration_2025_profile_stochasticity_summary.csv,calibration_profile_diagnostic,Profile stochasticity and profile-separability diagnostic summary on the 2025 calibration set.,Calibration: profile behavior diagnostic before main execution.,24,ff0156e094be02914ff497e23d69059fc3ebaa5a8ff4b5994046bf04371d7997
